Country,Time,Labour force,"Private final consumption expenditure, volume","Gross fixed capital formation, total, volume","Gross domestic product, volume, market prices",Total employment (labour force survey basis),"Imports of goods and services, volume (national accounts basis)","Exports of goods and services, volume (national accounts basis)",Unemployment rate,Countryno,Consumption % per GDP,Investment % per GDP,Net exports % per GDP,Labour productivity,Labour productivity growth
Australia,2012.25,295840366343.898,11958636.7717381,11344918.8169857,476096825178.565,359649193293.896,913392816278.176,1610981355277.95,5.13200598418412,1,0.00251180771206632,0.002382901589971887,146.5224093309457,1.3237811569050595,2.172425005369294
Australia,2012.5,298963543093.243,12001994.9450316,11370621.4779767,479610789609.328,360683579276.936,915838237585.846,1620694019027.92,5.2605710129567,1,0.002502444733323858,0.002370801851067354,146.9641210566221,1.3297272655739025,0.44917610723096413
Australia,2012.75,301768814677.123,12046282.4094378,11402329.566438,476874426436.216,362328071154.424,917354891688.209,1629645498505.2,5.34565620423524,1,0.0025260910926723896,0.002391054947452317,149.36649300741288,1.3161398864759015,-1.0218169883232986
Australia,2013.0,301267341158.825,12096847.8653577,11433091.0177306,470934596452.597,348353415356.741,922943785228.455,1633644531680.63,5.48702318996639,1,0.002568689571010385,0.0024277449785708033,150.91283413995518,1.3518874100037839,2.7160884564937815
Australia,2013.25,314755833508.784,12155223.4774159,11467565.0717391,464399332268.103,360527921108.373,925588233933.684,1640873354629.33,5.65730779820275,1,0.0026174076129804923,0.002469332807980599,154.02371859628425,1.288109200642207,-4.717716053099297
Australia,2013.5,313789410446.307,12163702.9052678,11472068.4597813,462825065559.654,353437696242.337,935005538435.81,1653621008098.38,5.68605177940494,1,0.00262814264187686,0.002478705090423123,155.2671890822531,1.309495479628508,1.6602846230458157
Australia,2013.75,318327414886.085,12161495.7287253,11454112.1871158,460169005719.646,351084967292.55,940694442402.052,1666977105591.65,5.81658339885535,1,0.0026428324327724467,0.002489109880228248,157.82954830992665,1.310705523133946,0.09240532130596613
Australia,2014.0,327307189079.362,12217756.3944995,11489263.9424545,458448400796.254,342203735034.838,946203161137.801,1678272974190.79,5.96257142901409,1,0.0026650232334280467,0.002506119319535072,159.68423311794672,1.3396943220084425,2.211694264107722
Australia,2014.25,328840545118.799,12258131.3014026,11529143.6329773,455277595039.483,351706413334.696,950788167883.224,1687640580332.06,5.94697226274497,1,0.00269245212919813,0.0025323327478870244,161.84684255875453,1.294481925202271,-3.3748293221389503
Australia,2014.5,335933290972.055,12324604.4129135,11566464.8877789,452537529667.816,352761752457.423,957871324536.691,1695510746463.38,6.15143090791819,1,0.002723443605210013,0.0025559128535194054,163.00071785607508,1.2828418231719596,-0.899209313292848
Australia,2014.75,342494974829.783,12346711.1562844,11575774.2351559,447828474496.447,347496099173.042,963009346442.284,1701879699013.77,6.24406703428935,1,0.0027570178895318003,0.00258486784436208,164.98958745361065,1.288729501027989,0.4589558704495289
Australia,2015.0,354025959900.917,12440384.9531491,11678151.4847705,441834158387.537,354188641382.369,967370608085.576,1716026739969.58,6.12708908324966,1,0.0028156231737604858,0.0026431074336555663,169.44279152526514,1.2474543414579722,-3.2027791353494095
Australia,2015.25,342240455455.141,12475245.3768029,11721979.2799341,436911926269.563,355363404729.912,973233958875.817,1718748260486.96,6.03808641928128,1,0.002855322692451752,0.0026829158407321555,170.63262794780763,1.2294792329604973,-1.4409431992890687
Australia,2015.5,359612235019.221,12545859.634164,11766648.6983835,434030620991.208,353910365962.351,982622246356.286,1736876613295.87,6.2109011140103,1,0.0028905471244200847,0.0027110181008684763,173.77906775726376,1.2263857256935509,-0.25161118496467294
Australia,2015.75,362577349624.721,12636628.0176506,11898292.9957451,429051294351.692,354905587925.367,987389186682.32,1746660386247.59,5.84281677734114,1,0.0029452487812080567,0.002773163291285192,176.96513436990074,1.2089167061576869,-1.4244310880237032
Australia,2016.0,370258502917.739,12664932.828147,11938029.8093961,426429036692.867,346035652767.67,996403778363.51,1761633637767.07,5.73949367607717,1,0.0029699977577438853,0.0027995349242585454,179.45069250870748,1.2323268810083379,1.9364588752401213
Australia,2016.25,373953678524.62,12683992.193741,11962610.9311182,423804744778.552,353464188718.832,1000420348524.36,1774814495719.4,5.68733606583872,1,0.00299288583953176,0.0028226703637706904,182.72427497235293,1.1990033454723568,-2.704114959231796
Australia,2016.5,379615083269.242,12696068.2797444,11977853.3593178,424038155497.43,357388068138.587,1005283995387.08,1777295792740.36,5.65698690808466,1,0.002994086290383684,0.0028247112209199283,182.0618704577775,1.1864922007776646,-1.043462033858067
Australia,2016.75,392396735288.399,12747557.4798677,12013852.0962014,427656063031.152,366256090374.911,1012087877725.06,1795396073773.18,5.75565464070318,1,0.0029807966218262463,0.0028092322627321824,183.16312190131652,1.167642188812178,-1.5887177305617173
Australia,2017.0,384373164080.808,12821471.8983867,12082293.1667512,432549640459.274,376078232655.488,1016413488257.73,1801113246231.34,5.76516282602904,1,0.0029641619594858695,0.002793273196094308,181.4126483009971,1.1501586715217242,-1.4973351817853864
Australia,2017.25,393682909046.248,12932224.9138769,12212337.1284548,438339665511.081,377067972515.576,1023924675903.49,1814213129782.64,5.56661974421444,1,0.0029502748510789245,0.0027860442687101697,180.29133935613953,1.1624950869911763,1.0725837899504986
Australia,2017.5,401268396875.121,13032106.2628367,12312994.9030732,443704964132.047,388263248014.892,1031990311020.64,1831280841477.93,5.51799797561673,1,0.002937110764205544,0.002775041051695072,180.14009196873,1.1427941387721263,-1.694712385412389
Australia,2017.75,393359529997.823,13124619.503333,12400420.3695209,449101729897.598,393282546814.044,1041583524818.14,1840100782508.09,5.51786765039733,1,0.002922415708869706,0.002761160677859866,177.80320237733756,1.1419315032811437,-0.07548476682855965
Australia,2018.0,409470893089.719,13216899.1081501,12486488.5803043,451683635673.749,400030230858.041,1046922097569.75,1857012988685.19,5.52633807573955,1,0.0029261407906521243,0.0027644323579885653,179.34917874699548,1.1291237532346357,-1.1215865408483072
Australia,2018.25,412358213050.571,13263311.8532819,12549160.6803889,454115446094.817,403146619774.737,1055052846423.35,1873640625734.88,5.38441062679438,1,0.002920691636309721,0.0027634296054683634,180.259840609036,1.126427517483737,-0.23879010101192089
Australia,2018.5,415900069141.646,13304021.3265299,12614319.7576788,452771395376.269,397369072032.331,1058576755471.87,1878155717515.74,5.18415862334599,1,0.0029383528779404868,0.0027860240038343974,181.0138560901735,1.1394228369625865,1.1536756051449215
Australia,2018.75,414138824718.063,13368194.6335047,12686288.6877612,449869522855.165,397966077334.89,1061960300535.02,1880070668064.19,5.10095764191231,1,0.002971571523374473,0.0028199929186680066,181.85503261854876,1.1304217833536552,-0.7899660527189267
Australia,2019.0,419972186608.128,13446422.3255824,12770505.8864964,445965287315.086,397888397650.718,1066315536298.9,1888243191042.26,5.02673813687988,1,0.003015127568904742,0.002863565001523024,184.30305634138892,1.1208300868993213,-0.8485059820660834
Australia,2019.25,427589652691.632,13565042.9065897,12864746.2179141,443170550865.34,394949791516.579,1069817854177.42,1902356753723.52,5.16250994189923,1,0.00306090801387918,0.002902888333350275,187.8597072663052,1.1220933910702846,0.11271147926248393
Australia,2019.5,428810652633.253,13633490.3723786,12922446.1431508,440860485255.95,392501415140.871,1071188524621.49,1911846600720.3,5.2154232687788,1,0.0030924727500727164,0.0029311872066847696,190.68573941498747,1.123207377730658,0.09927753511771442
Australia,2019.75,427811508066.987,13640458.9845947,12927192.75087,441559676563.623,393024395691.833,1075818084902.19,1922293454513.92,5.22904863047696,1,0.003089154129912786,0.002927620758189264,191.70123870895713,1.1234917766016899,0.025320245991133916
Australia,2020.0,409178553984.892,13709958.6157251,12998137.22993,436195500425.153,366590246705.553,1062748780781.67,1917253723360.32,5.19200243958907,1,0.0031430765797359705,0.0029798879670379264,195.89953168837764,1.189872082918527,5.908392718068889
Australia,2020.25,381799926725.018,13219038.4180013,12312636.4816714,383302228734.189,319332820332.437,933879363407.271,1783100879795.53,6.8567917549554,1,0.0034487246426026887,0.0032122527756575925,221.5540251860038,1.2003220600223852,0.8782437418168865
Australia,2020.5,375341556181.736,13514489.8524399,12559801.0710755,385174948958.789,340855926241.556,965631261763.118,1793883762990.49,7.06418660110971,1,0.003508662722997039,0.0032608042410409484,215.03280612259888,1.1300227436439676,-5.856704522876677
Australia,2020.75,380083458772.202,13723964.4451527,12635159.877502,395320104620.142,351236779818.382,1000401736999.85,1838730479812.36,7.93360090666311,1,0.003471608017087793,0.0031961844919683405,212.06327050278642,1.1255088513923703,-0.39945145148506667
Austria,1995.0,71306660400.0,3.79769254905748,238894628400.0,59170922800.0,135216204800.0,77649395600.0,3737003.277,3884525.61692,2,6.418173605123292e-09,403.7365264818888,-131.22265958090316,0.437602304306059,
Austria,1995.25,71406895200.0,3.76720711909849,240760325200.0,59801494000.0,135587057600.0,78743633600.0,3726231.723,3872101.81836,2,6.2995200740277325e-09,402.59918121778026,-131.66879638203855,0.4410560643363353,0.7892463079583578
Austria,1995.5,72673286400.0,3.72899213607174,241323284000.0,60181385600.0,136562690000.0,78096720800.0,3725843.662,3870161.68696,2,6.196255036161448e-09,400.9932333628424,-129.76270681999384,0.44068687867821,-0.08370492732728829
Austria,1995.75,71627232000.0,3.77597179501363,243700442800.0,61033618400.0,137685027200.0,78921230400.0,3710162.721,3855754.94002,2,6.186708070078358e-09,399.28886601945266,-129.3017230603503,0.4432843544515783,0.5894152739829961
Austria,1996.0,72695875600.0,4.44979934633932,244641055600.0,61660318400.0,139347521600.0,80664582400.0,3678833.914,3850158.22974,2,7.2166337472874945e-09,396.75606929723546,-130.81493196779533,0.44249311140959685,-0.17849559408890103
Austria,1996.25,73011772400.0,3.95062091112124,246897682000.0,62507966400.0,141512088000.0,80657426000.0,3690395.803,3842186.00683,2,6.3201878714794345e-09,394.9859453434402,-129.02953055308004,0.4417146781128691,-0.17591986782529156
Austria,1996.5,73867928800.0,4.08313434556581,247495166400.0,63516754000.0,140089656800.0,81579453200.0,3669896.25,3826121.94942,2,6.428436732717497e-09,389.6533604346343,-128.43191467836974,0.45340073957551447,2.6456131167231334
Austria,1996.75,77149217200.0,4.23475442588775,247876658400.0,63045333600.0,140053941200.0,82011150400.0,3674806.662,3837307.19842,2,6.7169989975082784e-09,393.1720941833513,-130.07699525177546,0.45015037106288874,-0.7168864602357772
